timestamp,open,high,low,close,volume
2025-12-25 16:50:00,88189.0,88201.0,88003.0,88097.0,200238.37896521
2025-12-25 16:55:00,88097.0,88143.0,88081.0,88083.0,427564.97268102
2025-12-25 17:00:00,88083.0,88128.0,88003.0,88060.0,47549.43415507
2025-12-25 17:05:00,88061.0,88130.0,88060.0,88118.0,50675.00406357
2025-12-25 17:10:00,88118.0,88195.0,88031.0,88044.0,82320.80154407
2025-12-25 17:15:00,88035.0,88102.0,88027.0,88081.0,92687.64692256
2025-12-25 17:20:00,88080.0,88135.0,88080.0,88135.0,21532.29615417
2025-12-25 17:25:00,88133.0,88133.0,88047.0,88047.0,15995.85556944
2025-12-25 17:30:00,88047.0,88047.0,88035.0,88039.0,12798.54392658
2025-12-25 17:35:00,88039.0,88078.0,88038.0,88039.0,8215.11264418
2025-12-25 17:40:00,88038.0,88049.0,88036.0,88048.0,33256.93559882
2025-12-25 17:45:00,88048.0,88135.0,88036.0,88134.0,51624.8231725
2025-12-25 17:50:00,88134.0,88214.0,88134.0,88168.0,149843.41137794
2025-12-25 17:55:00,88164.0,88166.0,88145.0,88146.0,97642.21692505
2025-12-25 18:00:00,88146.0,88252.0,88145.0,88239.0,24185.86105436
2025-12-25 18:05:00,88239.0,88297.0,88238.0,88276.0,56636.20912079
2025-12-25 18:10:00,88276.0,88311.0,88266.0,88298.0,15897.4942175
2025-12-25 18:15:00,88298.0,88298.0,88246.0,88247.0,23891.58180901
2025-12-25 18:20:00,88247.0,88247.0,88242.0,88242.0,13217.43774713
2025-12-25 18:25:00,88242.0,88243.0,88233.0,88241.0,41268.42100578
2025-12-25 18:30:00,88242.0,88242.0,88174.0,88174.0,15350.52611311
2025-12-25 18:35:00,88175.0,88186.0,88156.0,88185.0,53988.49602987
2025-12-25 18:40:00,88185.0,88306.0,88185.0,88270.0,28629.06860028
2025-12-25 18:45:00,88270.0,88272.0,88248.0,88271.0,38913.81840435
2025-12-25 18:50:00,88272.0,88283.0,88260.0,88260.0,8571.68800004
2025-12-25 18:55:00,88260.0,88261.0,88243.0,88243.0,18847.02768935
2025-12-25 19:00:00,88243.0,88244.0,88220.0,88220.0,7079.96906654
2025-12-25 19:05:00,88210.0,88210.0,88164.0,88164.0,36982.91051499
2025-12-25 19:10:00,88164.0,88213.0,88158.0,88176.0,167363.53856722
2025-12-25 19:15:00,88175.0,88175.0,88109.0,88109.0,24917.15089051
2025-12-25 19:20:00,88110.0,88110.0,88083.0,88083.0,10315.19277034
2025-12-25 19:25:00,88084.0,88129.0,88083.0,88106.0,25902.87186668
2025-12-25 19:30:00,88105.0,88106.0,88067.0,88087.0,12683.54065145
2025-12-25 19:35:00,88086.0,88095.0,88086.0,88086.0,21790.86121919
2025-12-25 19:40:00,88086.0,88135.0,88086.0,88134.0,13625.77272772
2025-12-25 19:45:00,88130.0,88130.0,88087.0,88095.0,109930.97344799
2025-12-25 19:50:00,88106.0,88134.0,88106.0,88134.0,41835.45108297
2025-12-25 19:55:00,88134.0,88134.0,88133.0,88133.0,4048.89541707
2025-12-25 20:00:00,88133.0,88134.0,88057.0,88073.0,19399.94561638
2025-12-25 20:05:00,88073.0,88092.0,88073.0,88092.0,8302.50251373
2025-12-25 20:10:00,88092.0,88092.0,88091.0,88092.0,9583.28519448
2025-12-25 20:15:00,88091.0,88112.0,88042.0,88042.0,35053.11917405
2025-12-25 20:20:00,88049.0,88049.0,88010.0,88010.0,22208.01832456
2025-12-25 20:25:00,88011.0,88011.0,87642.0,87736.0,155192.55886489
2025-12-25 20:30:00,87736.0,87789.0,87717.0,87779.0,38037.5633243
2025-12-25 20:35:00,87780.0,87835.0,87779.0,87801.0,11133.15645421
2025-12-25 20:40:00,87795.0,87802.0,87785.0,87789.0,16438.17826108
2025-12-25 20:45:00,87789.0,87865.0,87788.0,87851.0,7976.98744308
2025-12-25 20:50:00,87851.0,87868.0,87850.0,87862.0,7112.19308294
2025-12-25 20:55:00,87858.0,87862.0,87848.0,87861.0,16520.36564173
2025-12-25 21:00:00,87862.0,87893.0,87856.0,87870.0,31519.85918612
2025-12-25 21:05:00,87870.0,87882.0,87809.0,87878.0,13831.67247844
2025-12-25 21:10:00,87885.0,87957.0,87884.0,87955.0,10853.21859105
2025-12-25 21:15:00,87955.0,87957.0,87918.0,87919.0,33450.39612044
2025-12-25 21:20:00,87918.0,87939.0,87918.0,87928.0,23075.11930859
2025-12-25 21:25:00,87927.0,87938.0,87927.0,87937.0,18190.13277178
2025-12-25 21:30:00,87937.0,87948.0,87930.0,87934.0,2239.97251918
2025-12-25 21:35:00,87934.0,87946.0,87934.0,87946.0,20555.23892535
2025-12-25 21:40:00,87945.0,87945.0,87936.0,87942.0,32878.19975472
2025-12-25 21:45:00,87943.0,87943.0,87938.0,87938.0,39505.68644761
2025-12-25 21:50:00,87938.0,87939.0,87888.0,87888.0,9140.71967427
2025-12-25 21:55:00,87887.0,87895.0,87883.0,87894.0,6789.68914345
2025-12-25 22:00:00,87895.0,87905.0,87894.0,87903.0,4759.78235069
2025-12-25 22:05:00,87898.0,87898.0,87808.0,87816.0,13085.94359467
2025-12-25 22:10:00,87817.0,87847.0,87816.0,87847.0,65358.7685137
2025-12-25 22:15:00,87827.0,87846.0,87827.0,87845.0,16218.85727569
2025-12-25 22:20:00,87846.0,87846.0,87821.0,87821.0,17039.2164521
2025-12-25 22:25:00,87818.0,87864.0,87818.0,87837.0,22354.87432935
2025-12-25 22:30:00,87836.0,87857.0,87835.0,87846.0,616.97875407
2025-12-25 22:35:00,87847.0,87889.0,87847.0,87881.0,24631.09329939
2025-12-25 22:40:00,87872.0,87872.0,87706.0,87710.0,26423.72670695
2025-12-25 22:45:00,87707.0,87707.0,87347.0,87392.0,453869.60847562
2025-12-25 22:50:00,87394.0,87547.0,87325.0,87516.0,621556.72638116
2025-12-25 22:55:00,87516.0,87717.0,87516.0,87650.0,256391.17781128
2025-12-25 23:00:00,87650.0,87662.0,87510.0,87610.0,63634.4351397
2025-12-25 23:05:00,87611.0,87626.0,87599.0,87626.0,4810.77116936
2025-12-25 23:10:00,87626.0,87763.0,87626.0,87693.0,47449.64847557
2025-12-25 23:15:00,87690.0,87691.0,87665.0,87672.0,14809.15626879
2025-12-25 23:20:00,87672.0,87672.0,87533.0,87561.0,21558.23704569
2025-12-25 23:25:00,87562.0,87586.0,87485.0,87515.0,43455.2690122
2025-12-25 23:30:00,87506.0,87506.0,87188.0,87192.0,491563.84099134
2025-12-25 23:35:00,87189.0,87191.0,87046.0,87130.0,139366.95601518
2025-12-25 23:40:00,87121.0,87224.0,87018.0,87076.0,262450.4090797
2025-12-25 23:45:00,87075.0,87166.0,87000.0,87165.0,241413.12987796
2025-12-25 23:50:00,87152.0,87311.0,87143.0,87260.0,78674.05274411
